name,size,vendor,description,buyPrice,msrp,departmentCode
Bucket hat,Large,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
Bucket hat,Medium,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
Bucket hat,Petite,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
Bucket hat,Small,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
Bucket hat,X-Large,Acrylick,A Bucket hat by manufacturer Acrylick,76.00,41.00,1004
Cotton oxford,Kids,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Cotton oxford,Large,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Cotton oxford,Medium,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Cotton oxford,Petite,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Cotton oxford,Small,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Cotton oxford,X-Large,Polo,A Cotton oxford by manufacturer Polo,91.00,71.00,1003
Beach sling,Kids,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Beach sling,Large,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Beach sling,Medium,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Beach sling,Petite,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Beach sling,Small,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Beach sling,X-Large,Bellerose,A Beach sling by manufacturer Bellerose,85.00,2.00,1002
Swim trunk,Kids,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Swim trunk,Large,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Swim trunk,Medium,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Swim trunk,Petite,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Swim trunk,Small,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Swim trunk,X-Large,Prada,A Swim trunk by manufacturer Prada,11.00,53.00,1002
Beach sling,Kids,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Beach sling,Large,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Beach sling,Medium,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Beach sling,Petite,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Beach sling,Small,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Beach sling,X-Large,Lacoste,A Beach sling by manufacturer Lacoste,12.00,62.00,1002
Cotton oxford,Kids,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Cotton oxford,Large,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Cotton oxford,Medium,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Cotton oxford,Petite,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Cotton oxford,Small,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Cotton oxford,X-Large,J.Crew,A Cotton oxford by manufacturer J.Crew,24.00,86.00,1003
Short sleeve polo,Kids,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Short sleeve polo,Large,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Short sleeve polo,Medium,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Short sleeve polo,Petite,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Short sleeve polo,Small,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Short sleeve polo,X-Large,Bellerose,A Short sleeve polo by manufacturer Bellerose,11.00,7.00,1001
Beach sling,Kids,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Beach sling,Large,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Beach sling,Medium,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Beach sling,Petite,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Beach sling,Small,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Beach sling,X-Large,CLSC,A Beach sling by manufacturer CLSC,75.00,3.00,1005
Bike short,Kids,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Bike short,Large,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Bike short,Medium,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Bike short,Petite,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Bike short,Small,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Bike short,X-Large,J.Crew,A Bike short by manufacturer J.Crew,25.00,33.00,1003
Swim trunk,Kids,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Swim trunk,Large,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Swim trunk,Medium,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Swim trunk,Petite,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Swim trunk,Small,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Swim trunk,X-Large,Converse,A Swim trunk by manufacturer Converse,31.00,80.00,1002
Yoga skort,Kids,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Yoga skort,Large,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Yoga skort,Medium,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Yoga skort,Petite,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Yoga skort,Small,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Yoga skort,X-Large,Prada,A Yoga skort by manufacturer Prada,97.00,17.00,1005
Sweat pants,Kids,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Sweat pants,Large,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Sweat pants,Medium,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Sweat pants,Petite,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Sweat pants,Small,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Sweat pants,X-Large,Gucci,A Sweat pants by manufacturer Gucci,31.00,68.00,1000
Romper,Kids,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Romper,Large,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Romper,Medium,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Romper,Petite,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Romper,Small,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Romper,X-Large,H & M,A Romper by manufacturer H & M,99.00,49.00,1001
Cotton oxford,Kids,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Cotton oxford,Large,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Cotton oxford,Medium,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Cotton oxford,Petite,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Cotton oxford,Small,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Cotton oxford,X-Large,Hugo Boss,A Cotton oxford by manufacturer Hugo Boss,95.00,71.00,1001
Wool hat,Kids,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,Large,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,Medium,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,Petite,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,Small,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,X-Large,Gucci,A Wool hat by manufacturer Gucci,81.00,68.00,1002
Wool hat,Kids,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Wool hat,Large,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Wool hat,Medium,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Wool hat,Petite,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Wool hat,Small,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Wool hat,X-Large,Lacoste,A Wool hat by manufacturer Lacoste,96.00,71.00,1002
Bike short,Kids,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Bike short,Large,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Bike short,Medium,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Bike short,Petite,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Bike short,Small,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Bike short,X-Large,J.Crew,A Bike short by manufacturer J.Crew,9.00,51.00,1004
Skinny jean,Kids,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Skinny jean,Large,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Skinny jean,Medium,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Skinny jean,Petite,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Skinny jean,Small,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Skinny jean,X-Large,Nununu,A Skinny jean by manufacturer Nununu,55.00,20.00,1001
Yoga skort,Kids,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Yoga skort,Large,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Yoga skort,Medium,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Yoga skort,Petite,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Yoga skort,Small,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Yoga skort,X-Large,Gymboree,A Yoga skort by manufacturer Gymboree,85.00,54.00,1003
Bathing suit,Kids,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,Large,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,Medium,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,Petite,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,Small,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,X-Large,TinyCottons,A Bathing suit by manufacturer TinyCottons,68.00,57.00,1004
Bathing suit,Kids,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Bathing suit,Large,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Bathing suit,Medium,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Bathing suit,Petite,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Bathing suit,Small,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Bathing suit,X-Large,Calvin Klein,A Bathing suit by manufacturer Calvin Klein,14.00,54.00,1001
Sport coat,Kids,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Sport coat,Large,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Sport coat,Medium,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Sport coat,Petite,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Sport coat,Small,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Sport coat,X-Large,Aeropostale,A Sport coat by manufacturer Aeropostale,79.00,35.00,1000
Wool hat,Kids,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Wool hat,Large,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Wool hat,Medium,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Wool hat,Petite,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Wool hat,Small,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Wool hat,X-Large,Chanel,A Wool hat by manufacturer Chanel,9.00,93.00,1000
Suspenders,Kids,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Suspenders,Large,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Suspenders,Medium,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Suspenders,Petite,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Suspenders,Small,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Suspenders,X-Large,Izod,A Suspenders by manufacturer Izod,69.00,18.00,1003
Cotton oxford,Kids,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Cotton oxford,Large,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Cotton oxford,Medium,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Cotton oxford,Petite,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Cotton oxford,Small,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Cotton oxford,X-Large,H & M,A Cotton oxford by manufacturer H & M,47.00,51.00,1005
Sweat pants,Kids,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Sweat pants,Large,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Sweat pants,Medium,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Sweat pants,Petite,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Sweat pants,Small,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Sweat pants,X-Large,Diesel,A Sweat pants by manufacturer Diesel,29.00,62.00,1001
Skinny jean,Kids,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Skinny jean,Large,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Skinny jean,Medium,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Skinny jean,Petite,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Skinny jean,Small,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Skinny jean,X-Large,Gymboree,A Skinny jean by manufacturer Gymboree,34.00,57.00,1001
Romper,Kids,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Romper,Large,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Romper,Medium,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Romper,Petite,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Romper,Small,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Romper,X-Large,Prada,A Romper by manufacturer Prada,9.00,78.00,1004
Tuxedo,Kids,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Tuxedo,Large,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Tuxedo,Medium,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Tuxedo,Petite,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Tuxedo,Small,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Tuxedo,X-Large,Puma,A Tuxedo by manufacturer Puma,56.00,61.00,1004
Hawaiian shirt,Kids,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Hawaiian shirt,Large,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Hawaiian shirt,Medium,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Hawaiian shirt,Petite,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Hawaiian shirt,Small,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Hawaiian shirt,X-Large,H & M,A Hawaiian shirt by manufacturer H & M,97.00,70.00,1005
Bucket hat,Kids,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Bucket hat,Large,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Bucket hat,Medium,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Bucket hat,Petite,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Bucket hat,Small,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Bucket hat,X-Large,Nununu,A Bucket hat by manufacturer Nununu,27.00,86.00,1002
Tank top,Kids,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Tank top,Large,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Tank top,Medium,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Tank top,Petite,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Tank top,Small,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Tank top,X-Large,Chanel,A Tank top by manufacturer Chanel,6.00,48.00,1004
Rain jacket,Kids,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Rain jacket,Large,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Rain jacket,Medium,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Rain jacket,Petite,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Rain jacket,Small,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Rain jacket,X-Large,Guess,A Rain jacket by manufacturer Guess,62.00,3.00,1002
Beach sling,Kids,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Beach sling,Large,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Beach sling,Medium,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Beach sling,Petite,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Beach sling,Small,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Beach sling,X-Large,H & M,A Beach sling by manufacturer H & M,92.00,45.00,1002
Bathrobe,Kids,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Bathrobe,Large,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Bathrobe,Medium,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Bathrobe,Petite,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Bathrobe,Small,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Bathrobe,X-Large,Gucci,A Bathrobe by manufacturer Gucci,70.00,62.00,1003
Wool hat,Kids,Nike,A Wool hat by manufacturer Nike,95.00,1.00,1002
Wool hat,Large,Nike,A Wool hat by manufacturer Nike,95.00,1.00,1002
