coupon_id,coupon_type,coupon_dpt,coupon_discount,coupon_how_many,coupon_mean_prod_price,coupon_prods_avail
278.0,buy_all,Girls,50,4,25.42,4
279.0,just_discount,Men,12,1,24.74,1
280.0,buy_all,Women,45,2,8.42,2
281.0,buy_more,Men,10,3,1.74,1
282.0,buy_more,Women,21,5,5.0,1
283.0,buy_more,Sport,15,5,1.14,1
284.0,buy_all,Men,46,2,14.08,2
285.0,department,Girls,16,1,15.29,604
286.0,buy_more,Men,46,4,25.04,1
287.0,just_discount,Women,24,1,4.77,1
288.0,just_discount,Women,29,1,5.35,1
289.0,buy_all,Girls,16,5,10.22,5
290.0,buy_all,Sport,20,3,12.26,3
291.0,buy_more,Men,46,3,11.04,1
292.0,buy_all,Boys,45,2,3.56,2
293.0,buy_more,Girls,38,5,10.31,1
294.0,buy_more,Women,38,3,4.94,1
295.0,just_discount,Women,25,1,4.64,1
296.0,buy_more,Women,17,4,13.27,1
297.0,buy_more,Sport,41,3,5.22,1
298.0,buy_all,Sport,42,3,14.77,3
299.0,just_discount,Boys,22,1,170.56,1
300.0,just_discount,Men,10,1,7.98,1
301.0,buy_more,Sport,50,4,8.14,1
302.0,buy_all,Girls,41,2,8.41,2
303.0,buy_more,Boys,32,3,4.73,1
304.0,buy_more,Men,12,2,6.86,1
305.0,buy_all,Girls,14,2,7.46,2
306.0,just_discount,Women,8,1,11.4,1
307.0,buy_all,Girls,63,3,7.96,3
308.0,buy_more,Girls,21,5,9.42,1
309.0,just_discount,Women,8,1,4.91,1
310.0,just_discount,Girls,10,1,7.12,1
311.0,just_discount,Men,5,1,11.1,1
312.0,buy_more,Men,30,3,28.33,1
313.0,buy_all,Boys,28,5,7.84,5
314.0,buy_all,Sport,17,3,6.7,3
315.0,buy_more,Men,42,2,9.07,1
316.0,just_discount,Boys,7,1,4.52,1
317.0,just_discount,Women,9,1,6.54,1
318.0,just_discount,Women,16,1,11.82,1
319.0,buy_all,Men,40,4,9.58,4
320.0,just_discount,Sport,12,1,23.2,1
321.0,buy_more,Boys,36,5,5.73,1
322.0,buy_more,Girls,37,3,8.14,1
323.0,just_discount,Boys,18,1,6.17,1
324.0,buy_all,Girls,63,5,20.63,5
325.0,buy_all,Boys,57,3,8.6,3
326.0,just_discount,Sport,27,1,3.24,1
327.0,buy_all,Boys,16,4,10.3,4
328.0,just_discount,Girls,20,1,18.25,1
329.0,just_discount,Sport,10,1,13.35,1
330.0,buy_more,Men,18,5,5.23,1
331.0,buy_more,Boys,46,4,1.7,1
332.0,buy_all,Girls,7,5,9.48,5
333.0,just_discount,Girls,14,1,8.11,1
334.0,just_discount,Women,21,1,17.28,1
335.0,buy_more,Women,34,3,10.79,1
336.0,buy_more,Men,45,2,3.33,1
337.0,buy_more,Women,20,4,8.15,1
338.0,buy_all,Women,28,2,22.23,2
339.0,just_discount,Sport,19,1,10.29,1
340.0,just_discount,Men,28,1,21.8,1
341.0,buy_all,Sport,57,3,3.99,3
342.0,just_discount,Boys,15,1,4.55,1
343.0,buy_more,Boys,11,3,10.12,1
344.0,buy_more,Boys,38,3,14.92,1
345.0,buy_more,Men,35,3,11.43,1
346.0,buy_more,Women,32,4,7.95,1
347.0,buy_all,Sport,68,3,12.07,3
348.0,just_discount,Girls,30,1,12.1,1
349.0,buy_all,Men,50,3,13.83,3
350.0,just_discount,Sport,10,1,10.71,1
351.0,buy_more,Girls,40,5,8.0,1
352.0,buy_more,Women,27,5,9.12,1
353.0,just_discount,Girls,8,1,1.27,1
354.0,just_discount,Women,21,1,15.1,1
355.0,buy_more,Girls,39,3,5.19,1
356.0,buy_more,Boys,18,2,10.48,1
357.0,buy_more,Men,13,2,3.49,1
358.0,department,Sport,37,1,18.23,641
359.0,buy_all,Boys,29,2,28.9,2
360.0,just_discount,Men,23,1,11.1,1
361.0,buy_all,Women,30,4,15.34,4
362.0,buy_all,Sport,55,5,7.85,5
363.0,buy_more,Men,42,2,9.11,1
364.0,buy_all,Men,65,2,3.3,2
365.0,buy_more,Boys,35,4,8.23,1
366.0,just_discount,Women,27,1,2.12,1
367.0,just_discount,Men,10,1,2.36,1
368.0,just_discount,Boys,21,1,7.36,1
369.0,just_discount,Girls,8,1,11.06,1
370.0,just_discount,Girls,6,1,2.16,1
371.0,just_discount,Sport,16,1,10.19,1
372.0,department,Women,9,1,16.4,537
373.0,just_discount,Men,20,1,7.15,1
374.0,buy_all,Boys,51,5,10.01,5
375.0,buy_more,Women,47,5,14.78,1
376.0,buy_more,Sport,45,2,16.09,1
377.0,just_discount,Boys,28,1,8.63,1
378.0,just_discount,Girls,12,1,1.34,1
379.0,just_discount,Sport,17,1,4.53,1
380.0,just_discount,Men,17,1,36.5,1
381.0,just_discount,Boys,11,1,5.23,1
382.0,buy_all,Girls,7,2,7.2,2
383.0,buy_more,Men,48,5,5.17,1
384.0,buy_more,Men,21,5,2.51,1
385.0,just_discount,Boys,16,1,6.9,1
386.0,buy_more,Girls,37,5,8.28,1
387.0,buy_all,Girls,29,4,6.88,4
388.0,buy_all,Boys,66,3,4.48,3
389.0,just_discount,Men,20,1,8.62,1
390.0,buy_more,Sport,21,5,13.68,1
391.0,department,Girls,64,1,15.29,604
392.0,buy_all,Women,13,3,8.48,3
393.0,just_discount,Sport,10,1,19.43,1
394.0,just_discount,Men,14,1,7.7,1
395.0,just_discount,Boys,6,1,3.06,1
396.0,buy_more,Men,29,2,2.83,1
397.0,buy_more,Sport,25,2,5.6,1
398.0,buy_more,Women,39,4,11.07,1
399.0,just_discount,Girls,23,1,8.11,1
400.0,just_discount,Women,17,1,267.78,1
401.0,just_discount,Girls,13,1,8.15,1
402.0,buy_all,Men,37,2,6.2,2
403.0,just_discount,Sport,10,1,10.02,1
404.0,buy_all,Boys,62,2,14.3,2
405.0,buy_all,Boys,66,4,13.17,4
406.0,just_discount,Girls,18,1,9.16,1
407.0,buy_more,Girls,35,2,7.59,1
408.0,buy_more,Girls,44,4,4.16,1
409.0,buy_all,Women,63,2,7.2,2
410.0,just_discount,Women,30,1,2.63,1
411.0,buy_more,Men,17,5,19.78,1
412.0,buy_more,Sport,21,5,16.3,1
413.0,buy_more,Sport,15,5,653.96,1
414.0,just_discount,Men,25,1,3.78,1
415.0,buy_all,Men,67,5,7.87,5
416.0,just_discount,Boys,22,1,10.81,1
417.0,buy_all,Girls,63,3,11.29,3
418.0,just_discount,Women,23,1,43.64,1
419.0,buy_more,Women,19,2,17.5,1
420.0,buy_more,Girls,13,5,24.53,1
421.0,buy_all,Sport,58,4,29.45,4
422.0,buy_more,Boys,15,4,4.11,1
423.0,buy_more,Sport,47,4,9.28,1
424.0,buy_all,Men,22,3,4.94,3
425.0,buy_all,Women,18,2,6.38,2
426.0,buy_all,Boys,42,2,7.1,2
427.0,buy_all,Boys,61,4,11.22,4
428.0,buy_more,Girls,31,4,7.95,1
429.0,buy_all,Boys,6,4,6.34,4
430.0,just_discount,Girls,28,1,6.79,1
431.0,buy_all,Girls,32,4,5.42,4
432.0,buy_more,Girls,43,2,3.46,1
433.0,buy_all,Sport,36,2,9.5,2
434.0,buy_more,Women,37,2,2.42,1
435.0,just_discount,Women,22,1,2.12,1
436.0,buy_more,Men,27,5,6.11,1
437.0,buy_all,Men,29,2,10.13,2
438.0,buy_more,Sport,50,2,2.81,1
439.0,buy_more,Sport,16,2,4.03,1
440.0,buy_all,Men,60,5,8.92,5
441.0,just_discount,Women,17,1,9.36,1
442.0,buy_more,Sport,10,4,8.46,1
443.0,just_discount,Girls,14,1,10.99,1
444.0,buy_all,Boys,49,2,6.48,2
445.0,just_discount,Girls,18,1,13.29,1
446.0,buy_more,Women,30,5,8.45,1
447.0,just_discount,Men,29,1,9.54,1
448.0,buy_all,Men,55,2,9.96,2
449.0,buy_all,Boys,41,2,5.89,2
450.0,just_discount,Women,14,1,13.84,1
451.0,buy_more,Boys,14,2,8.58,1
452.0,buy_all,Women,7,2,7.18,2
453.0,department,Boys,39,1,11.53,609
454.0,just_discount,Sport,24,1,43.58,1
455.0,buy_all,Men,27,2,6.32,2
456.0,buy_all,Sport,31,2,13.52,2
457.0,buy_more,Girls,28,4,5.55,1
458.0,just_discount,Men,26,1,9.57,1
459.0,buy_more,Boys,27,5,10.52,1
460.0,buy_more,Girls,41,5,18.25,1
461.0,buy_more,Women,18,5,25.86,1
462.0,buy_more,Sport,25,3,7.38,1
463.0,just_discount,Women,24,1,8.47,1
464.0,buy_all,Girls,17,4,76.3,4
465.0,just_discount,Girls,10,1,11.84,1
466.0,just_discount,Sport,19,1,26.13,1
467.0,just_discount,Boys,27,1,25.76,1
468.0,buy_more,Men,32,3,1.93,1
469.0,buy_more,Sport,49,2,12.5,1
470.0,buy_more,Girls,19,4,11.4,1
471.0,buy_all,Women,67,5,7.13,5
472.0,buy_all,Men,8,2,6.56,2
473.0,just_discount,Boys,16,1,33.32,1
474.0,buy_more,Sport,40,3,23.57,1
475.0,just_discount,Women,12,1,15.52,1
476.0,buy_all,Girls,62,3,8.36,3
477.0,just_discount,Sport,5,1,12.64,1
478.0,just_discount,Boys,7,1,10.75,1
479.0,buy_all,Men,45,5,14.93,5
480.0,buy_all,Girls,36,5,7.06,5
481.0,just_discount,Women,22,1,10.32,1
482.0,just_discount,Men,11,1,7.72,1
483.0,just_discount,Men,25,1,8.89,1
484.0,buy_all,Sport,50,3,5.84,3
485.0,buy_more,Sport,42,4,15.04,1
486.0,buy_all,Boys,30,4,7.31,4
487.0,buy_more,Women,47,2,3.57,1
488.0,just_discount,Men,18,1,8.33,1
489.0,department,Girls,53,1,15.29,604
490.0,buy_more,Men,10,2,5.37,1
491.0,just_discount,Boys,11,1,10.0,1
492.0,buy_more,Women,19,3,11.07,1
493.0,just_discount,Men,13,1,10.41,1
494.0,buy_more,Men,30,5,11.87,1
495.0,buy_all,Women,48,4,20.55,4
496.0,buy_more,Girls,33,2,1.24,1
497.0,just_discount,Girls,25,1,7.39,1
498.0,just_discount,Girls,25,1,7.73,1
499.0,buy_more,Sport,11,2,2.05,1
500.0,buy_all,Boys,64,5,5.5,5
501.0,buy_all,Sport,14,4,5.51,4
502.0,just_discount,Women,15,1,2.12,1
503.0,buy_all,Men,44,4,10.58,4
504.0,just_discount,Men,30,1,10.44,1
505.0,just_discount,Girls,16,1,9.45,1
506.0,buy_all,Girls,26,4,11.5,4
507.0,just_discount,Women,22,1,10.24,1
508.0,department,Men,28,1,11.07,609
509.0,buy_more,Sport,42,4,9.36,1
510.0,buy_more,Women,16,4,99.94,1
511.0,just_discount,Sport,13,1,11.31,1
512.0,just_discount,Women,28,1,2.33,1
513.0,buy_more,Sport,38,3,8.18,1
514.0,just_discount,Men,14,1,3.7,1
515.0,buy_more,Girls,46,3,1.83,1
516.0,buy_all,Men,19,4,9.25,4
517.0,buy_more,Sport,36,3,8.11,1
518.0,buy_more,Boys,30,4,4.43,1
519.0,just_discount,Boys,29,1,8.33,1
520.0,buy_all,Sport,31,2,8.3,2
521.0,just_discount,Girls,26,1,22.51,1
522.0,just_discount,Sport,8,1,10.63,1
523.0,just_discount,Boys,14,1,2.69,1
524.0,buy_more,Girls,41,5,1.18,1
525.0,just_discount,Women,7,1,9.4,1
526.0,just_discount,Men,9,1,5.04,1
527.0,buy_more,Girls,25,5,1.7,1
528.0,just_discount,Women,17,1,4.52,1
529.0,buy_all,Women,19,2,5.6,2
530.0,just_discount,Sport,25,1,2.61,1
531.0,buy_all,Boys,39,5,5.77,5
532.0,just_discount,Women,12,1,5.03,1
533.0,just_discount,Men,10,1,8.28,1
534.0,buy_all,Boys,55,4,5.54,4
535.0,buy_all,Boys,30,5,10.32,5
536.0,just_discount,Women,5,1,11.28,1
537.0,buy_more,Women,16,3,3.09,1
538.0,buy_all,Men,15,3,6.26,3
539.0,buy_more,Sport,33,5,10.7,1
540.0,just_discount,Girls,30,1,6.59,1
541.0,buy_more,Men,28,2,7.16,1
542.0,buy_all,Girls,6,2,8.98,2
543.0,buy_all,Men,38,2,16.14,2
544.0,just_discount,Girls,10,1,13.82,1
545.0,buy_more,Sport,36,2,4.07,1
546.0,buy_all,Boys,8,3,7.37,3
547.0,buy_more,Sport,36,5,10.35,1
548.0,buy_all,Girls,56,4,5.34,4
549.0,buy_all,Women,22,3,8.8,3
550.0,buy_more,Men,32,5,7.02,1
551.0,buy_all,Women,24,5,30.08,5
552.0,buy_all,Boys,14,4,7.65,4
553.0,buy_more,Sport,34,5,11.0,1
554.0,just_discount,Boys,8,1,3.88,1
555.0,just_discount,Girls,11,1,7.71,1
556.0,just_discount,Women,20,1,10.0,1
557.0,buy_all,Men,12,2,8.84,2
558.0,buy_more,Men,41,2,10.01,1
559.0,buy_all,Men,13,3,6.14,3
560.0,buy_all,Girls,47,2,9.99,2
561.0,just_discount,Girls,18,1,2.47,1
562.0,buy_all,Girls,29,3,12.63,3
563.0,buy_more,Boys,11,4,9.58,1
564.0,just_discount,Boys,19,1,9.35,1
565.0,buy_more,Sport,44,5,2.61,1
566.0,buy_more,Women,42,4,2.08,1
567.0,buy_more,Men,22,3,7.15,1
568.0,buy_all,Sport,19,2,10.38,2
569.0,just_discount,Sport,19,1,8.07,1
570.0,buy_all,Sport,23,2,9.94,2
571.0,just_discount,Women,12,1,3.0,1
572.0,buy_more,Boys,26,5,2.58,1
573.0,buy_all,Women,65,4,7.7,4
574.0,just_discount,Girls,14,1,6.16,1
575.0,buy_more,Men,47,4,5.37,1
576.0,buy_all,Sport,28,4,13.07,4
577.0,buy_more,Women,42,5,9.44,1
578.0,just_discount,Men,23,1,8.2,1
579.0,buy_all,Girls,59,5,4.81,5
580.0,buy_all,Sport,70,4,7.49,3
581.0,buy_more,Girls,29,2,2.87,1
582.0,buy_all,Sport,11,2,11.1,2
583.0,buy_all,Men,13,5,6.46,5
584.0,buy_all,Girls,15,5,13.63,5
585.0,just_discount,Women,18,1,150.88,1
586.0,buy_all,Boys,60,2,19.59,2
587.0,buy_more,Men,40,4,8.45,1
588.0,buy_more,Women,35,5,5.45,1
589.0,buy_all,Boys,10,5,6.47,5
590.0,buy_more,Sport,14,2,2.05,1
591.0,buy_all,Women,21,3,37.28,3
592.0,just_discount,Boys,16,1,23.74,1
593.0,just_discount,Men,12,1,5.72,1
594.0,just_discount,Girls,25,1,2.8,1
595.0,buy_more,Men,27,3,10.4,1
596.0,just_discount,Sport,17,1,11.44,1
597.0,buy_more,Women,28,4,2.29,1
598.0,buy_more,Girls,37,4,10.02,1
599.0,just_discount,Sport,24,1,2.41,1
600.0,buy_all,Men,32,4,3.57,4
601.0,buy_more,Sport,46,5,9.92,1
602.0,buy_more,Women,35,5,67.42,1
603.0,buy_more,Girls,23,4,19.82,1
604.0,just_discount,Girls,8,1,17.93,1
605.0,buy_more,Boys,35,5,6.5,1
606.0,buy_more,Girls,29,4,24.55,1
607.0,buy_all,Men,54,5,14.13,5
608.0,buy_more,Men,37,4,6.15,1
609.0,buy_more,Boys,31,3,3.23,1
610.0,buy_more,Sport,42,3,10.06,1
611.0,buy_more,Boys,46,4,1.38,1
612.0,just_discount,Sport,15,1,9.82,1
613.0,buy_all,Boys,29,2,4.28,2
614.0,just_discount,Sport,13,1,8.69,1
615.0,buy_all,Women,12,2,9.24,2
616.0,just_discount,Men,16,1,3.48,1
