customer_id,age_range,marital_status,family_size,no_of_children,income_bracket,gender,mean_discount_used_by_cust,unique_items_bought_by_cust,mean_selling_price_paid_by_cust,mean_quantity_bought_by_cust,total_discount_used_by_cust,total_coupons_used_by_cust,total_price_paid_by_cust,total_quantity_bought_by_cust
95,36-45,Married,3,1,9,M,-1.36,232,105.79,1.0,-356.19,12,27612.17,261
96,18-25,Single,1,0,5,M,-0.41,398,111.24,1.0,-216.4,8,58400.26,525
97,36-45,Single,1,0,6,F,-0.76,293,88.58,1.04,-375.94,10,43933.76,516
98,36-45,Single,1,0,3,F,-0.04,332,89.86,1.0,-20.07,1,49781.54,554
99,46-55,Married,2,0,5,M,0.0,206,87.78,1.0,0.0,0,55828.0,636
100,46-55,Single,1,0,1,M,-0.95,1011,90.91,1.04,-1821.35,58,174272.27,1994
101,56-70,Married,2,0,4,F,0.0,370,117.04,1.0,0.0,0,55009.56,470
102,46-55,Single,1,0,5,M,-0.25,237,118.3,1.0,-65.3,2,31349.23,265
103,46-55,Married,2,0,4,M,0.0,864,107.98,1.14,0.0,0,187337.79,1975
104,46-55,Married,3,1,8,F,-1.37,186,90.21,1.05,-348.17,14,23003.33,268
105,36-45,Single,3,1,5,M,-0.25,296,113.68,1.01,-121.11,4,54794.34,486
106,46-55,Married,2,0,1,F,-0.26,869,77.22,1.06,-347.1,14,101621.48,1391
107,18-25,Married,2,0,2,F,-0.01,478,107.57,1.01,-8.9,1,64432.19,603
108,46-55,Single,1,0,5,M,-11.4,154,192.99,1.0,-3043.71,86,51529.28,267
109,46-55,Married,2,0,10,M,0.0,178,90.92,1.02,0.0,0,19729.22,222
110,18-25,Married,3,1,6,M,-0.04,424,90.75,1.03,-35.62,1,79137.98,896
111,46-55,Married,2,0,5,F,0.0,295,119.58,1.0,0.0,0,64213.63,537
112,46-55,Married,2,0,4,M,-0.26,701,86.62,1.01,-272.49,12,90950.58,1065
113,56-70,Married,2,0,4,M,-0.93,309,92.4,1.13,-427.06,14,42505.39,520
114,26-35,Married,3,1,5,M,0.0,227,110.83,1.0,0.0,0,45219.34,408
115,36-45,Married,2,0,5,M,0.0,110,108.69,1.0,0.0,0,15651.35,144
116,26-35,Married,2,0,9,F,0.0,345,117.8,1.0,0.0,0,51123.96,434
117,46-55,Married,3,1,3,M,-0.11,236,81.38,1.1,-35.62,2,26531.28,360
118,36-45,Married,3,1,5,F,-0.17,270,92.92,1.0,-71.24,2,38190.54,411
119,46-55,Single,1,0,3,F,-0.31,467,116.58,1.12,-247.56,11,94200.17,901
120,26-35,Single,3,2,3,F,-0.31,304,86.02,1.05,-118.73,2,32772.56,399
121,46-55,Married,2,0,1,M,-0.73,165,71.17,1.0,-142.48,3,13949.05,196
122,36-45,Married,5,3,8,F,0.0,372,99.81,1.0,0.0,0,44314.42,444
123,46-55,Married,2,0,4,F,-0.35,354,111.74,1.0,-276.06,13,87047.03,779
124,46-55,Married,2,0,6,M,-0.16,377,110.51,1.24,-106.86,3,71721.55,803
125,70+,Single,1,0,2,F,0.0,282,111.55,1.02,0.0,0,35920.0,327
126,46-55,Single,1,0,5,M,0.0,530,88.91,1.07,0.0,0,80192.83,968
127,36-45,Single,1,0,5,M,-0.23,731,86.12,1.0,-292.27,14,107650.4,1256
128,36-45,Married,3,1,1,F,-0.27,1341,91.44,1.0,-605.18,12,204098.83,2232
129,18-25,Married,2,0,4,M,0.0,132,100.65,1.0,0.0,0,15500.13,154
130,56-70,Married,4,2,6,M,0.0,323,108.74,1.0,0.0,0,47085.34,435
131,46-55,Married,2,0,5,F,-3.39,326,103.1,1.06,-2523.24,117,76813.06,786
132,46-55,Married,3,1,3,M,-2.47,584,113.68,1.06,-2174.63,41,100261.74,933
133,26-35,Married,2,0,3,M,-0.16,467,94.33,1.0,-126.45,5,73389.73,778
134,70+,Married,2,0,4,M,0.0,242,84.81,1.0,0.0,0,44692.52,527
135,36-45,Single,1,0,1,F,-0.16,614,97.87,1.01,-124.31,4,74673.18,770
136,56-70,Single,2,1,1,M,-0.08,341,95.68,1.0,-55.21,3,65442.52,684
137,36-45,Single,1,0,5,F,-0.54,290,72.84,1.01,-231.53,8,31247.55,435
138,36-45,Single,1,0,5,F,-0.08,222,113.26,1.0,-32.06,2,44283.2,391
139,46-55,Single,3,1,1,F,-0.51,288,94.73,1.08,-206.6,9,38272.26,437
140,46-55,Married,2,0,2,M,-0.09,725,115.38,1.13,-106.86,1,140882.46,1383
141,56-70,Married,2,0,9,F,-0.03,897,120.18,1.01,-54.85,2,207434.32,1749
142,46-55,Married,2,0,4,F,-0.22,348,83.89,1.08,-135.36,3,50671.48,655
143,70+,Single,1,0,2,F,-0.1,464,75.57,1.01,-64.12,4,50556.18,677
144,36-45,Married,2,0,4,F,-0.04,646,84.44,1.03,-53.43,1,121842.62,1491
145,36-45,Married,3,1,5,F,0.0,436,107.28,1.01,0.0,0,56751.89,534
146,26-35,Married,2,0,5,M,0.0,210,90.93,1.03,0.0,0,29096.32,330
147,70+,Married,2,0,4,M,-0.04,227,52.98,1.0,-30.28,2,44129.64,835
148,26-35,Single,1,0,3,F,-0.44,392,114.01,1.05,-204.82,4,53128.23,487
149,26-35,Single,1,0,3,F,-0.06,659,82.1,1.03,-65.3,3,90230.33,1132
150,36-45,Married,2,0,4,F,-0.4,1493,91.72,1.04,-1094.17,36,248736.32,2817
151,36-45,Married,5,3,12,F,-0.06,991,118.91,1.05,-100.62,6,201314.36,1780
152,36-45,Single,1,0,1,M,-0.81,310,98.47,1.0,-332.44,12,40175.1,408
153,46-55,Single,1,0,5,M,-1.77,740,67.92,1.0,-2410.36,86,92716.3,1365
154,46-55,Married,5,3,6,F,-0.22,640,101.56,1.0,-224.4,7,101455.6,999
155,70+,Married,2,0,5,M,-0.22,718,106.88,1.11,-242.2,11,117675.63,1218
156,18-25,Single,1,0,12,F,0.0,158,91.26,1.11,0.0,0,16335.33,198
157,46-55,Married,3,1,4,M,0.0,147,88.17,1.0,0.0,0,18515.96,211
158,36-45,Married,4,2,8,F,-2.38,975,105.35,1.0,-3022.65,106,133902.58,1271
159,36-45,Married,3,1,1,M,-3.83,268,103.94,1.01,-1674.14,14,45421.61,441
160,36-45,Married,2,0,6,M,-0.04,378,100.31,1.0,-17.81,1,47345.28,474
161,46-55,Single,1,0,1,M,-0.54,1235,76.96,1.0,-1537.74,60,219958.63,2872
162,26-35,Married,2,0,5,F,-0.99,702,117.55,1.01,-1990.73,64,236634.44,2040
163,26-35,Single,3,2,3,M,-0.02,369,75.14,1.0,-11.58,1,46963.12,628
164,26-35,Married,5,3,5,F,-1.11,673,65.34,1.01,-1117.04,40,65997.64,1020
165,46-55,Married,2,0,7,M,-0.17,171,118.17,1.16,-35.62,1,25052.5,245
166,26-35,Single,1,0,4,F,-0.16,718,95.06,1.0,-175.73,5,106559.85,1121
167,46-55,Married,2,0,4,F,-0.17,543,93.11,1.0,-189.86,10,102239.32,1098
168,46-55,Married,2,0,6,M,0.0,358,97.94,1.01,0.0,0,51615.54,534
169,70+,Single,1,0,5,F,-0.04,351,89.93,1.0,-19.59,1,42445.21,473
170,56-70,Married,2,0,8,M,-0.08,301,105.52,1.02,-42.67,2,56031.17,542
171,70+,Married,2,0,2,F,0.0,85,119.71,1.0,0.0,0,14365.53,120
172,46-55,Married,3,1,5,M,0.0,286,114.92,1.0,0.0,0,48497.74,422
173,56-70,Married,3,1,2,M,-0.01,441,90.78,1.03,-5.34,1,93772.47,1068
174,36-45,Single,1,0,4,M,-0.02,582,96.18,1.05,-17.81,1,95407.08,1042
175,56-70,Single,1,0,7,M,0.0,316,118.55,1.0,0.0,0,48366.74,408
176,46-55,Single,1,0,6,F,-1.08,218,97.64,1.08,-333.06,25,30074.28,334
177,36-45,Single,1,0,8,M,0.0,208,112.8,1.06,0.0,0,31246.76,295
178,36-45,Single,1,0,5,F,-0.41,184,100.78,1.0,-114.87,5,28118.85,280
179,46-55,Single,1,0,4,M,-1.52,462,112.09,1.04,-1113.8,42,81939.43,757
180,26-35,Married,2,0,5,F,-0.43,545,121.35,1.0,-308.83,6,87006.78,717
181,46-55,Married,2,0,5,M,-0.21,509,97.02,1.04,-167.4,7,76161.72,818
182,46-55,Married,4,2,4,M,0.0,115,134.07,1.0,0.0,0,19708.82,147
183,56-70,Married,2,0,9,M,-0.04,481,90.64,1.03,-26.71,1,57737.32,656
184,46-55,Married,2,0,5,M,0.0,418,102.12,1.08,0.0,0,53814.79,571
185,46-55,Single,1,0,7,M,0.0,518,90.91,1.13,0.0,0,80632.95,1003
186,26-35,Married,2,0,4,F,-0.01,652,78.5,1.0,-17.81,1,117276.26,1494
187,36-45,Married,4,2,7,F,-0.04,329,80.29,1.0,-17.81,1,39663.35,494
188,46-55,Single,1,0,5,M,-0.04,546,103.48,1.0,-35.62,1,83711.32,809
189,26-35,Married,4,2,5,F,-0.88,716,94.65,1.0,-1206.92,36,130053.59,1377
190,56-70,Married,2,0,3,F,-0.22,323,93.98,1.0,-89.05,1,38251.42,407
191,56-70,Married,2,0,1,F,-0.04,750,104.54,1.0,-46.3,3,110083.82,1053
192,36-45,Married,4,2,4,F,-0.07,826,111.01,1.0,-90.84,4,153971.82,1387
193,46-55,Married,3,1,4,M,0.0,287,114.9,1.01,0.0,0,42284.87,371
194,56-70,Single,2,1,1,F,-0.26,600,101.83,1.02,-235.98,8,91141.24,909
195,26-35,Married,2,0,5,M,-0.06,1218,96.12,1.06,-118.73,2,176671.35,1945
196,46-55,Married,2,0,4,F,-0.84,335,114.27,1.06,-509.35,14,69247.58,642
197,18-25,Married,4,2,4,F,-2.03,547,79.81,1.05,-1971.96,76,77579.45,1020
198,26-35,Single,1,0,6,M,0.0,215,90.61,1.02,0.0,0,57806.61,648
199,46-55,Single,3,2,5,M,0.0,240,126.82,1.04,0.0,0,41091.1,336
200,46-55,Married,3,1,4,F,-2.55,387,115.68,1.0,-1439.19,36,65241.99,564
201,46-55,Married,3,1,6,F,0.0,381,73.89,1.0,0.0,0,52685.48,713
202,46-55,Married,2,0,6,M,-0.57,626,107.12,1.0,-626.07,39,117405.33,1096
203,46-55,Married,2,0,10,F,-0.42,169,98.43,1.01,-124.67,2,29529.22,304
204,46-55,Single,4,3,4,M,-0.05,600,84.72,1.06,-41.85,2,75319.67,938
205,46-55,Married,2,0,7,F,-1.72,533,113.79,1.0,-1667.11,85,110372.74,970
206,36-45,Married,2,0,3,F,-0.06,465,106.15,1.01,-35.62,1,59869.59,567
207,46-55,Single,1,0,5,M,-0.49,892,115.44,1.08,-740.88,28,175582.84,1636
208,26-35,Married,2,0,5,F,-0.08,1439,117.81,1.03,-231.53,6,333162.8,2902
209,26-35,Single,1,0,6,M,0.0,366,80.42,1.0,0.0,0,53964.24,671
210,36-45,Married,3,1,1,F,-0.09,217,71.2,1.03,-50.76,3,38235.93,553
211,36-45,Married,2,0,5,F,-0.07,217,101.18,1.0,-19.59,1,28230.09,279
212,36-45,Married,5,3,8,F,-0.08,873,89.55,1.0,-80.14,2,94559.55,1056
213,46-55,Married,4,2,2,M,0.0,209,79.16,1.0,0.0,0,24776.17,313
214,46-55,Married,2,0,1,F,-1.2,763,88.78,1.01,-1556.83,44,114787.63,1302
215,36-45,Single,1,0,2,F,0.0,304,119.01,1.0,0.0,0,56648.83,476
216,36-45,Single,1,0,2,M,-0.16,278,91.91,1.05,-71.24,2,40439.23,464
217,36-45,Married,5,3,4,M,-0.68,115,82.65,1.03,-159.75,11,19340.91,241
218,26-35,Married,2,0,6,F,0.0,246,76.88,1.0,0.0,0,27063.52,352
219,56-70,Married,2,0,9,M,-0.34,377,74.13,1.0,-187.89,6,40623.74,548
220,26-35,Married,3,1,7,M,-0.21,354,92.33,1.0,-84.78,3,37949.56,411
221,46-55,Married,2,0,5,M,-0.15,175,129.2,1.0,-32.94,2,28423.71,220
222,36-45,Married,2,0,5,F,-0.18,801,85.59,1.0,-260.02,7,122143.72,1427
223,70+,Married,2,0,5,M,0.0,335,97.34,1.0,0.0,0,65316.78,671
224,46-55,Single,2,1,4,M,0.0,353,78.3,1.0,0.0,0,35391.44,452
225,46-55,Married,4,2,5,F,0.0,252,115.53,1.21,0.0,0,38704.17,404
226,46-55,Single,1,0,5,F,-0.29,587,137.29,1.01,-377.21,10,177518.67,1304
227,46-55,Married,2,0,9,M,-0.09,454,109.94,1.0,-45.42,3,57937.84,527
228,26-35,Married,5,3,4,F,-1.02,1104,101.42,1.0,-2032.05,86,201221.05,1984
229,46-55,Married,2,0,5,M,-0.32,262,107.64,1.05,-160.29,3,54682.02,533
230,36-45,Married,2,0,5,F,-0.13,1192,115.83,1.0,-276.76,6,253657.11,2190
231,46-55,Single,1,0,5,F,-0.27,1071,75.15,1.0,-578.46,13,161114.84,2144
232,70+,Single,1,0,5,F,-0.15,364,98.55,1.02,-92.26,4,60707.49,628
233,46-55,Married,2,0,5,F,-0.19,426,110.73,1.01,-106.86,2,63560.95,577
234,26-35,Single,3,2,1,F,-0.13,508,117.23,1.02,-114.57,4,100581.98,879
235,56-70,Married,2,0,5,F,-3.16,764,113.55,1.0,-4619.7,210,166009.0,1462
236,18-25,Married,2,0,4,F,-0.15,155,108.04,1.04,-35.62,1,25173.39,243
237,70+,Single,1,0,2,F,0.0,188,89.13,1.01,0.0,0,18805.61,214
238,70+,Married,2,0,5,M,-0.16,504,85.62,1.1,-125.92,7,67214.24,862
239,36-45,Married,3,1,6,F,-0.13,1409,102.16,1.0,-401.6,13,319031.88,3123
240,36-45,Married,4,2,5,M,-0.48,615,146.5,1.02,-500.8,9,153385.98,1072
241,46-55,Single,1,0,4,M,0.0,511,72.02,1.0,0.0,0,112776.33,1566
242,46-55,Married,2,0,5,M,0.0,374,90.65,1.0,0.0,0,56748.56,626
243,56-70,Married,2,0,5,F,-0.63,494,137.96,1.04,-550.91,23,121268.21,913
244,36-45,Married,3,1,3,F,-0.11,666,95.88,1.0,-189.97,4,171623.86,1790
245,26-35,Single,2,1,4,F,-0.64,456,110.64,1.0,-365.09,7,63172.92,571
246,46-55,Single,1,0,5,M,-0.39,420,100.46,1.03,-388.22,17,100059.2,1029
247,70+,Single,1,0,2,M,0.0,445,125.11,1.04,0.0,0,66308.11,550
248,36-45,Single,1,0,3,F,-0.56,819,68.15,1.02,-858.08,39,104202.24,1555
249,26-35,Single,1,0,5,M,-1.04,566,131.73,1.0,-843.89,28,107095.86,813
250,36-45,Single,1,0,9,M,-0.77,1134,108.35,1.03,-1977.97,79,277043.37,2637
251,46-55,Single,1,0,3,M,-0.27,238,113.41,1.01,-89.05,1,38106.74,339
252,70+,Single,1,0,3,F,-0.19,209,121.79,1.0,-46.3,3,28986.97,238
253,36-45,Married,3,1,12,M,-0.01,848,131.17,1.0,-12.47,1,223909.04,1707
254,56-70,Married,2,0,2,M,-0.2,723,95.29,1.0,-186.82,6,91094.91,956
255,46-55,Married,2,0,3,F,0.0,246,121.52,1.0,0.0,0,33417.86,275
256,36-45,Married,4,2,5,F,-0.49,171,94.61,1.04,-144.56,6,28192.49,311
257,18-25,Married,2,0,4,M,-0.62,652,105.44,1.07,-708.53,23,119782.95,1212
258,46-55,Married,5,3,5,F,-0.03,402,75.15,1.04,-17.8,2,38627.46,532
259,36-45,Married,3,1,9,F,-0.27,1653,134.68,1.05,-743.74,6,370091.54,2892
260,26-35,Single,1,0,5,F,-0.38,216,99.03,1.09,-117.54,3,30601.77,337
261,70+,Single,1,0,4,F,-1.19,93,158.07,1.0,-130.85,5,17387.23,110
262,26-35,Married,2,0,3,F,-0.02,670,129.22,1.02,-19.59,1,150925.52,1194
263,46-55,Single,2,1,3,M,-0.07,345,76.66,1.23,-35.62,1,41242.22,660
264,46-55,Single,1,0,4,F,-0.66,321,147.74,1.0,-262.7,3,58799.62,398
265,18-25,Single,2,1,3,M,-2.65,713,92.47,1.02,-2723.87,109,95057.11,1049
266,56-70,Married,5,3,4,F,-0.56,194,82.66,1.0,-145.69,3,21409.2,259
267,36-45,Married,2,0,1,M,-0.16,540,127.99,1.05,-117.37,6,95990.19,788
268,70+,Married,2,0,2,F,-1.06,437,82.83,1.0,-709.89,16,55495.9,672
269,46-55,Single,1,0,7,F,-0.02,371,90.4,1.13,-19.59,1,79104.01,990
270,36-45,Single,1,0,3,F,-0.1,391,89.35,1.02,-56.1,4,50928.12,584
271,36-45,Married,3,1,4,M,-0.03,706,104.33,1.05,-31.16,2,126236.06,1266
272,26-35,Married,2,0,4,M,-1.04,234,121.91,1.04,-286.74,10,33646.07,286
273,46-55,Single,2,1,5,F,0.0,448,101.72,1.0,0.0,0,57673.55,567
274,70+,Single,1,0,4,M,-2.09,746,101.62,1.11,-2051.65,79,99996.18,1088
275,56-70,Married,2,0,5,F,-0.03,660,86.76,1.0,-37.4,2,109573.46,1263
276,46-55,Married,2,0,5,F,-0.76,597,97.5,1.15,-922.55,53,118950.83,1409
277,18-25,Married,2,0,5,M,-0.07,658,76.31,1.0,-80.14,3,84095.62,1102
278,26-35,Married,2,0,5,M,-0.99,137,103.89,1.01,-158.15,3,16519.23,161
279,18-25,Single,1,0,3,M,-0.25,438,106.76,1.02,-160.29,3,68327.76,650
280,36-45,Married,4,2,2,M,0.0,139,79.3,1.0,0.0,0,16652.88,210
281,36-45,Married,3,1,2,F,0.0,526,90.88,1.0,0.0,0,93058.67,1025
282,46-55,Married,2,0,6,F,0.0,322,113.98,1.0,0.0,0,47643.2,418
283,26-35,Married,5,3,5,M,-1.4,684,125.88,1.03,-1582.34,47,142744.07,1165
284,36-45,Married,2,0,5,F,-1.43,357,104.21,1.0,-785.21,27,57109.82,548
285,26-35,Married,4,2,9,M,0.0,68,111.88,1.0,0.0,0,11635.7,104
286,46-55,Single,1,0,5,M,-0.03,155,98.28,1.0,-12.47,1,45109.41,459
287,26-35,Single,2,1,2,M,-0.76,328,88.54,1.05,-304.2,10,35239.21,417
288,46-55,Married,2,0,3,M,-0.79,269,90.64,1.0,-395.02,13,45137.46,498
289,26-35,Single,1,0,4,M,-0.09,385,126.0,1.0,-55.21,3,77614.86,616
290,36-45,Married,2,0,3,M,0.0,214,110.86,1.01,0.0,0,33147.11,302
291,26-35,Married,5,3,3,M,0.0,167,82.44,1.0,0.0,0,33304.3,404
292,26-35,Single,2,1,1,M,0.0,226,105.83,1.02,0.0,0,30160.28,291
293,56-70,Single,1,0,4,F,-0.51,915,94.12,1.0,-866.58,27,160282.6,1703
294,18-25,Single,2,1,5,F,-0.39,724,143.37,1.0,-425.66,9,155264.33,1087
295,56-70,Married,2,0,4,F,-2.79,293,85.89,1.02,-1091.22,26,33584.71,399
296,70+,Married,2,0,3,F,-0.4,97,133.92,1.0,-81.92,4,27185.71,203
297,70+,Single,1,0,3,F,-0.65,132,76.42,1.06,-110.42,6,13068.45,182
298,70+,Single,1,0,7,M,-0.28,290,107.17,1.0,-89.05,4,34081.09,318
